"Step","CIFAR100_CNN_FedAvg_sgd_lr0.005_20classes - Global/Averaged Grads Angle","CIFAR100_CNN_FedAvg_sgd_lr0.005_20classes - Global/Averaged Grads Angle__MIN","CIFAR100_CNN_FedAvg_sgd_lr0.005_20classes - Global/Averaged Grads Angle__MAX","IMAGENET1k_CNN_FedSTGM_sgd_lr0.005 - Global/Averaged Grads Angle","IMAGENET1k_CNN_FedSTGM_sgd_lr0.005 - Global/Averaged Grads Angle__MIN","IMAGENET1k_CNN_FedSTGM_sgd_lr0.005 - Global/Averaged Grads Angle__MAX","IMAGENET1k_CNN_FedALA_sgd_lr0.005 - Global/Averaged Grads Angle","IMAGENET1k_CNN_FedALA_sgd_lr0.005 - Global/Averaged Grads Angle__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005 - Global/Averaged Grads Angle__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005 - Global/Averaged Grads Angle","IMAGENET1k_CNN_FedDBE_sgd_lr0.005 - Global/Averaged Grads Angle__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005 - Global/Averaged Grads Angle__MAX"
"Step",
"0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0.4255141615867615","0.4255141615867615","0.4255141615867615","0.33822855949401853","0.33822855949401853","0.33822855949401853","0.3378888785839081","0.3378888785839081","0.3378888785839081","0.33902875781059266","0.33902875781059266","0.33902875781059266"
"2","0.3404551088809967","0.3404551088809967","0.3404551088809967","0.3140277862548828","0.3140277862548828","0.3140277862548828","0.2465456947684288","0.2465456947684288","0.2465456947684288","0.3349693775177002","0.3349693775177002","0.3349693775177002"
"3","0.19123361632227898","0.19123361632227898","0.19123361632227898","-0.10094623230397701","-0.10094623230397701","-0.10094623230397701","0.032657450065016747","0.032657450065016747","0.032657450065016747","0.0348789663054049","0.0348789663054049","0.0348789663054049"
"4","0.17203518897294998","0.17203518897294998","0.17203518897294998","-0.15937970094382764","-0.15937970094382764","-0.15937970094382764","-0.03302000691182912","-0.03302000691182912","-0.03302000691182912","-0.14161146730184554","-0.14161146730184554","-0.14161146730184554"
"5","0.18358786180615425","0.18358786180615425","0.18358786180615425","-0.1675079233944416","-0.1675079233944416","-0.1675079233944416","-0.05888587888330221","-0.05888587888330221","-0.05888587888330221","-0.16251384392380713","-0.16251384392380713","-0.16251384392380713"
"6","0.19225509017705916","0.19225509017705916","0.19225509017705916","-0.17349024787545203","-0.17349024787545203","-0.17349024787545203","-0.07345919832587242","-0.07345919832587242","-0.07345919832587242","-0.16991785615682603","-0.16991785615682603","-0.16991785615682603"
"7","0.1898408241569996","0.1898408241569996","0.1898408241569996","-0.1750890739262104","-0.1750890739262104","-0.1750890739262104","-0.08028925433754922","-0.08028925433754922","-0.08028925433754922","-0.1753096841275692","-0.1753096841275692","-0.1753096841275692"
"8","0.1929257929325104","0.1929257929325104","0.1929257929325104","-0.17775569409132003","-0.17775569409132003","-0.17775569409132003","-0.08244298957288265","-0.08244298957288265","-0.08244298957288265","-0.17736768424510957","-0.17736768424510957","-0.17736768424510957"
"9","0.19764285832643508","0.19764285832643508","0.19764285832643508","-0.17694375067949294","-0.17694375067949294","-0.17694375067949294","-0.08383356705307961","-0.08383356705307961","-0.08383356705307961","-0.1778358779847622","-0.1778358779847622","-0.1778358779847622"
"10","0.19095917344093322","0.19095917344093322","0.19095917344093322","-0.17522923275828362","-0.17522923275828362","-0.17522923275828362","-0.0835832703858614","-0.0835832703858614","-0.0835832703858614","-0.17733363956212997","-0.17733363956212997","-0.17733363956212997"
"11","0.17259291782975197","0.17259291782975197","0.17259291782975197","-0.172832640260458","-0.172832640260458","-0.172832640260458","-0.08294862136244774","-0.08294862136244774","-0.08294862136244774","-0.17212604805827142","-0.17212604805827142","-0.17212604805827142"
"12","0.15222133100032806","0.15222133100032806","0.15222133100032806","-0.17307383567094803","-0.17307383567094803","-0.17307383567094803","-0.0843541081994772","-0.0843541081994772","-0.0843541081994772","-0.17284792810678482","-0.17284792810678482","-0.17284792810678482"
"13","0.1370640866458416","0.1370640866458416","0.1370640866458416","-0.17695382237434387","-0.17695382237434387","-0.17695382237434387","-0.08898097723722458","-0.08898097723722458","-0.08898097723722458","-0.17327442094683648","-0.17327442094683648","-0.17327442094683648"
"14","0.12321848794817924","0.12321848794817924","0.12321848794817924","-0.18376090452075006","-0.18376090452075006","-0.18376090452075006","-0.0923462338745594","-0.0923462338745594","-0.0923462338745594","-0.17937703877687455","-0.17937703877687455","-0.17937703877687455"
"15","0.1144296046346426","0.1144296046346426","0.1144296046346426","-0.19091785922646523","-0.19091785922646523","-0.19091785922646523","-0.09694327563047409","-0.09694327563047409","-0.09694327563047409","-0.18726249933242797","-0.18726249933242797","-0.18726249933242797"
